36,68,132,1,3,bad
40,76,140,1,1,bad
44,75,136,3,4,bad
35,69,135,0,2,bad
44,86,143,0,4,bad
38,98,142,1,3,bad
38,73,134,1,1,bad
45,84,138,1,4,bad
41,76,130,3,4,bad
55,105,131,8,8,bad
55,111,136,3,7,bad
53,110,146,5,4,bad
39,96,142,2,7,bad
57,117,154,3,7,bad
46,105,133,5,6,bad
50,108,141,4,9,bad
35,75,119,6,6,bad
31,70,114,3,2,bad
30,73,117,3,2,bad
40,80,113,2,1,bad
39,72,123,1,0,bad
40,76,109,2,2,bad
62,88,122,2,19,bad
53,72,114,2,15,bad
64,97,130,3,11,bad
63,103,137,1,7,bad
57,75,109,3,10,bad
58,91,123,3,14,bad
59,77,111,3,11,bad
49,72,115,2,10,bad
56,83,130,0,5,bad
56,96,135,4,17,bad
61,88,136,6,17,bad
38,67,124,0,5,bad
38,64,119,1,7,bad
28,46,72,2,2,bad
24,44,80,5,0,bad
35,50,70,3,2,bad
31,44,62,0,0,bad
37,68,129,0,3,bad
39,74,129,2,8,bad
43,72,120,1,6,bad
34,62,115,0,7,bad
48,104,138,6,10,bad
36,112,156,2,3,bad
32,107,150,2,2,bad
31,113,156,2,0,bad
43,109,146,4,5,bad
37,106,145,2,2,bad
47,110,147,2,0,bad
31,100,135,2,7,bad
38,109,149,2,5,bad
37,117,163,2,1,bad
49,122,155,6,19,bad
55,120,142,6,20,bad
55,133,161,5,20,bad
45,130,159,4,7,bad
39,130,162,4,14,bad
41,71,126,19,18,bad
38,77,141,0,1,bad
32,63,114,3,3,bad
30,62,115,3,2,bad
37,68,124,4,8,bad
41,67,117,5,7,bad
29,60,112,5,7,bad
27,58,110,3,6,bad
42,77,124,5,4,bad
37,73,121,1,4,bad
56,102,137,2,2,bad
38,71,116,2,4,bad
48,81,120,2,2,bad
39,71,121,1,4,bad
39,71,116,2,2,bad
44,89,135,2,7,bad
40,70,114,3,5,bad
51,75,124,2,7,bad
45,72,128,1,6,bad
43,71,130,3,4,bad
40,65,123,1,8,bad
37,66,126,1,6,bad
38,63,115,0,6,bad
46,72,129,1,5,bad
25,47,90,0,0,bad
41,68,122,2,2,bad
34,62,127,1,1,bad
27,53,119,1,1,bad
26,50,114,1,1,bad
25,51,114,1,2,bad
27,52,118,0,1,bad
57,99,102,2,12,bad
58,101,106,5,1,bad
55,95,98,4,5,bad
53,95,98,4,6,bad
