39,65,138,2,1,1
39,65,138,2,1,1
39,65,138,1,1,1
39,65,138,1,1,1
30,59,124,0,0,1
30,59,124,0,0,1
59,114,148,1,0,1
59,114,148,1,0,1
60,112,149,1,0,1
60,112,149,1,0,1
54,114,155,1,0,1
54,114,155,1,0,1
41,81,154,0,0,1
41,81,154,0,0,1
35,85,140,0,0,1
35,85,140,0,0,1
27,71,141,0,0,1
27,71,141,0,0,1
44,92,150,0,0,1
44,92,150,0,0,1
46,97,149,0,1,1
46,97,149,0,1,1
34,80,144,0,0,1
34,80,144,0,0,1
36,65,139,1,1,1
36,65,139,1,1,1
44,82,127,0,0,1
36,74,141,0,0,1
36,74,141,0,0,1
31,61,127,1,0,1
31,61,127,1,0,1
35,65,130,1,0,1
35,65,130,1,0,1
52,96,119,1,0,1
49,95,118,0,1,1
42,80,143,0,1,1
42,80,143,0,1,1
36,80,140,0,0,1
36,80,140,0,0,1
45,91,148,0,0,1
45,91,148,0,0,1
39,93,153,1,0,1
39,93,153,1,0,1
45,79,122,1,0,1
41,77,133,0,1,1
41,82,132,0,0,1
54,93,141,1,0,1
41,81,132,0,0,1
50,91,137,0,0,1
31,62,123,0,0,1
31,62,123,0,0,1
42,77,126,0,0,1
57,103,138,0,1,1
57,103,138,0,1,1
56,101,138,1,0,1
56,101,138,1,0,1
45,82,124,1,0,1
45,82,124,1,0,1
61,103,136,1,2,1
61,103,136,1,2,1
36,72,137,0,0,1
36,72,137,0,0,1
43,86,142,0,0,1
43,86,142,0,0,1
46,80,134,0,0,1
36,75,139,0,0,1
37,75,148,0,0,1
39,77,134,0,0,1
39,77,134,0,0,1
39,77,134,0,0,1
39,77,134,0,0,1
81,132,129,0,4,1
71,121,116,0,1,1
72,123,118,0,1,1
53,102,144,1,0,1
58,108,147,0,2,1
50,94,150,0,1,1
29,57,123,0,0,1
34,66,129,1,0,1
34,66,129,1,0,1
34,66,129,1,0,1
34,66,129,1,0,1
40,76,144,0,0,1
23,50,139,2,1,1
38,75,137,0,0,1
24,52,125,1,0,1
23,47,124,1,0,1
37,71,141,1,0,1
48,95,164,0,1,1
34,73,145,0,2,1
40,84,150,0,0,1
31,60,131,1,0,1
31,60,131,1,0,1
33,82,155,1,0,1
30,61,141,0,1,1
29,60,127,0,0,1
42,82,142,0,1,1
36,67,138,0,0,1
28,56,130,0,0,1
34,68,122,0,1,1
33,71,127,0,2,1
45,87,132,0,0,1
22,41,110,1,0,1
36,70,138,1,0,1
36,70,138,1,0,1
29,57,122,1,0,1
31,65,125,1,0,1
36,66,131,1,0,1
27,55,124,1,1,1
27,55,124,1,1,1
26,54,121,0,0,1
26,54,121,0,0,1
32,61,122,0,0,1
32,61,122,0,0,1
36,74,132,0,0,1
36,74,132,0,0,1
31,68,140,0,0,1
31,68,140,0,0,1
35,67,144,0,0,1
35,67,144,0,0,1
39,81,152,0,0,1
30,57,123,1,0,1
30,57,123,1,0,1
32,74,145,0,0,1
31,71,140,0,0,1
45,97,153,0,0,1
52,114,155,1,1,1
39,115,172,1,0,1
37,108,167,1,0,1
48,109,155,1,0,1
95,147,142,2,1,1
82,141,132,1,0,1
87,148,142,1,0,1
34,64,127,0,0,1
34,64,127,0,0,1
85,143,134,2,0,1
85,140,132,1,1,1
85,140,132,1,1,1
90,137,126,1,0,1
90,137,126,1,0,1
39,84,146,1,2,1
39,84,146,1,2,1
40,94,160,0,1,1
40,94,160,0,1,1
43,95,153,0,3,1
43,95,153,0,3,1
80,144,141,0,0,1
80,144,141,0,0,1
71,129,123,0,0,1
71,129,123,0,0,1
70,134,127,0,1,1
71,127,120,1,1,1
31,56,120,0,0,1
31,56,120,0,0,1
50,86,146,0,1,1
41,85,150,0,0,1
36,84,153,0,0,1
50,100,163,0,1,1
51,94,151,0,0,1
43,94,154,0,0,1
58,106,146,1,1,1
66,120,142,1,0,1
66,120,142,1,0,1
51,113,142,1,0,1
51,113,142,1,0,1
47,71,128,9,16,0
43,68,125,10,23,0
39,65,120,6,13,0
35,62,119,3,4,0
34,58,123,2,2,0
50,97,143,5,6,0
43,85,129,3,4,0
53,95,135,4,7,0
40,82,121,3,5,0
45,92,125,4,5,0
